"label","V1","V2","V3"
1,0.0262860522483387,0.0604362980244455,0.913277649727216
1,0.108996548519418,0.060507523671519,0.830495927809063
1,0.0648257290244305,0.074186970896524,0.860987300079046
1,0.0355167404972188,0.103841053546534,0.860642205956248
1,0.0259242783554225,0,0.974075721644578
2,0.0465587367823482,0.86868058659351,0.0847606766241413
2,0.0757742601216275,0.844875134572124,0.0793506053062487
2,0.0825846698128722,0.917415330187128,0
2,0.073592293632456,0.883342186248806,0.0430655201187381
2,0,0.929592391733745,0.0704076082662548
2,0.0979103098510163,0.840623752399747,0.0614659377492368
2,0.0516622477041924,0.912274853547112,0.036062898748696
2,0.0333656697051233,0.875002625489891,0.0916317048049856
2,0.0794299734175951,0.88124760015522,0.0393224264271845
2,0.0761577629153516,0.901888505806471,0.0219537312781774
3,0.857108108857234,0.063502167471318,0.079389723671448
3,0.8555725624386,0.0814429826203889,0.062984454941011
3,0.92746711167097,0.0674210966735256,0.00511179165550415
3,0.853342766200859,0.115181366954901,0.0314758668442399
3,0.879680147345502,0.0746076283625203,0.0457122242919781
3,0.887691208965955,0.0431610916237766,0.0691476994102682
3,0.920505142239038,0.0207051035261122,0.0587897542348499
3,0.834011720430201,0.109437064724906,0.0565512148448928
3,0.915897676161767,0.0640544336703772,0.0200478901678558
3,0.986515244164809,0.0134847558351909,0
4,0.263245115179439,0.686407093134427,0.0503477916861341
4,0.264438084269945,0.707073583773864,0.0284883319561911
4,0.246635904541616,0.753364095458384,0
4,0.253573438365213,0.660724444327019,0.0857021173077679
4,0.234706968887351,0.705406607766964,0.0598864233456851
